Timestamp,Bid Ask Ratio
2024-10-29 00:07:12,0.49
2024-10-29 00:17:15,0.43
2024-10-29 00:27:16,0.61
2024-10-29 00:37:18,0.65
2024-10-29 00:47:20,0.58
2024-10-29 00:57:22,0.64
2024-10-29 01:07:24,0.57
2024-10-29 01:17:26,0.67
2024-10-29 01:27:28,0.72
2024-10-29 01:37:30,0.65
2024-10-29 01:47:32,0.69
2024-10-29 01:57:34,0.68
2024-10-29 02:07:36,0.72
2024-10-29 02:17:38,0.64
2024-10-29 02:27:40,0.66
2024-10-29 02:37:42,0.71
2024-10-29 02:47:44,0.53
2024-10-29 02:57:46,0.41
2024-10-29 03:07:48,0.51
2024-10-29 03:17:50,0.33
2024-10-29 03:27:52,0.3
2024-10-29 03:37:54,0.33
2024-10-29 03:47:56,0.38
2024-10-29 03:57:58,0.35
2024-10-29 04:08:00,0.41
2024-10-29 04:18:02,0.5
2024-10-29 04:28:04,0.5
2024-10-29 04:38:06,0.45
2024-10-29 04:48:08,0.59
2024-10-29 04:58:10,0.58
2024-10-29 05:08:12,0.77
2024-10-29 05:18:14,0.7
2024-10-29 05:28:15,0.64
2024-10-29 05:38:17,0.67
2024-10-29 05:48:19,0.66
2024-10-29 05:58:21,0.62
2024-10-29 06:08:23,0.63
2024-10-29 06:18:25,0.51
2024-10-29 06:28:27,0.54
2024-10-29 06:38:29,0.58
2024-10-29 06:48:31,0.64
2024-10-29 06:58:33,0.59
2024-10-29 07:08:35,0.62
2024-10-29 07:18:37,0.66
2024-10-29 07:28:39,0.61
2024-10-29 07:38:41,0.66
2024-10-29 07:48:43,0.6
2024-10-29 07:58:45,0.6
2024-10-29 08:08:47,0.61
2024-10-29 08:18:49,0.58
2024-10-29 08:28:51,0.74
2024-10-29 08:38:53,0.55
2024-10-29 08:48:55,0.85
2024-10-29 08:58:57,0.7
2024-10-29 09:08:59,0.73
2024-10-29 09:19:01,0.67
2024-10-29 09:29:03,0.83
2024-10-29 09:39:04,0.69
2024-10-29 09:49:06,0.64
2024-10-29 09:59:08,0.63
2024-10-29 10:09:10,0.77
2024-10-29 10:19:13,0.77
2024-10-29 10:29:15,0.99
2024-10-29 10:39:17,0.71
2024-10-29 10:49:19,0.61
2024-10-29 10:59:21,0.78
2024-10-29 11:09:23,0.63
2024-10-29 11:19:26,0.72
2024-10-29 11:29:27,0.6
2024-10-29 11:39:29,0.78
2024-10-29 11:49:31,0.72
2024-10-29 11:59:33,0.62
2024-10-29 12:09:35,0.64
2024-10-29 12:19:37,0.61
2024-10-29 12:29:39,0.71
2024-10-29 12:39:41,0.62
2024-10-29 12:49:43,0.65
2024-10-29 12:59:45,0.64
2024-10-29 13:09:47,0.55
2024-10-29 13:19:49,0.85
2024-10-29 13:29:51,0.88
2024-10-29 13:39:53,0.67
2024-10-29 13:49:55,0.68
2024-10-29 13:59:57,0.66
2024-10-29 14:09:58,0.75
2024-10-29 14:20:01,0.89
2024-10-29 14:30:03,0.76
2024-10-29 14:40:05,0.62
2024-10-29 14:50:07,0.69
2024-10-29 15:00:10,0.24
2024-10-29 15:10:12,0.27
2024-10-29 15:20:14,0.25
2024-10-29 15:30:16,0.31
2024-10-29 15:40:18,0.28
2024-10-29 15:50:20,0.32
2024-10-29 16:00:22,0.27
2024-10-29 16:10:24,0.33
2024-10-29 16:20:27,0.42
2024-10-29 16:30:30,0.42
2024-10-29 16:40:32,0.75
2024-10-29 16:50:34,0.5
2024-10-29 17:00:37,0.41
2024-10-29 17:10:39,0.28
2024-10-29 17:20:41,0.98
2024-10-29 17:30:43,0.74
2024-10-29 17:40:45,0.51
